BS 젤다의 전설 고대의 석판 제3화.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 젤다의 전설 고대의 석판 제4화.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 젤다의 전설 리믹스.smc	UNRENDERED	0	0.00	0.00	0	-	-	0
BS 젤다의 전설.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 즛토 마작! 이벤트 버전.smc	UNRENDERED	0	0.00	0.00	0	$c4:bbb3	002140	12421
BS 즛토 마작! 프리뷰 버전.smc	UNRENDERED	0	0.00	0.00	0	$c4:bbb3	002140	12421
BS 칩데고저스 1.smc	OK	493	65.43	0.00	0	$c0:99a1	7e0742	11854
BS 커비의 장난감 상자 - 룰루 볼.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 커비의 장난감 상자 - 별 부수기.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 코보 검증 매거진.smc	UNRENDERED	0	0.00	0.00	0	-	-	0
BS 콜럼버스의 계란말이 1.smc	OK	491	66.78	0.00	0	$c0:99a1	7e0742	11857
BS 콜럼버스의 계란말이 2.smc	OK	491	66.78	0.00	0	$c0:99a1	7e0742	11857
BS 콜럼버스의 계란말이 3.smc	OK	491	66.78	0.00	0	$c0:99a1	7e0742	11857
BS 큐온파 SFC.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 크로노 트리거 - 뮤직 라이브러리.smc	OK	6812	99.19	0.00	0	$c0:02b2	000501	13056
BS 크로노 트리거 - 캐릭터 라이브러리.smc	OK	57188	92.84	0.00	0	$c0:00df	7e0d01	12840
BS 탐정 클럽 - 눈에 사라진 과거 1.smc	UNRENDERED	0	0.00	0.00	0	$c0:cb8a	002140	10006
BS 탐정 클럽 - 눈에 사라진 과거 2.smc	UNRENDERED	0	0.00	0.00	0	$c0:cb8a	002140	10006
BS 탐정 클럽 - 눈에 사라진 과거 3.smc	UNRENDERED	0	0.00	0.00	0	$c0:cb8a	002140	8128
BS 토라노 마키 5-17.smc	UNRENDERED	0	0.00	0.00	0	-	-	8110
